TEXT,LEMMA,POS,TAG,DEP,SHAPE,ALPHA,STOP
are,be,VERB,VBP,ROOT,xxx,True,True
become,become,VERB,VBP,ROOT,xxxx,True,True
going,go,VERB,VBG,ROOT,xxxx,True,False
talk,talk,VERB,VB,xcomp,xxxx,True,False
help,help,VERB,VB,relcl,xxxx,True,False
become,become,VERB,VB,advcl,xxxx,True,True
based,base,VERB,VBN,acl,xxxx,True,False
designed,design,VERB,VBN,relcl,xxxx,True,False
recorded,record,VERB,VBD,relcl,xxxx,True,False
input,input,VERB,VB,ROOT,xxxx,True,False
received,receive,VERB,VBN,acl,xxxx,True,False
let,let,VERB,VB,conj,xxx,True,False
analyze,analyze,VERB,VB,ccomp,xxxx,True,False
includes,include,VERB,VBZ,ROOT,xxxx,True,False
help,help,VERB,VB,ROOT,xxxx,True,False
predict,predict,VERB,VB,xcomp,xxxx,True,False
plan,plan,VERB,VB,conj,xxxx,True,False
manage,manage,VERB,VB,xcomp,xxxx,True,False
take,take,VERB,VB,relcl,xxxx,True,True
go,go,VERB,VBP,ROOT,xx,True,True
visit,visit,VERB,VB,advcl,xxxx,True,False
help,help,VERB,VB,ROOT,xxxx,True,False
detect,detect,VERB,VB,xcomp,xxxx,True,False
count,count,VERB,VB,conj,xxxx,True,False
collect,collect,VERB,VB,advcl,xxxx,True,False
predict,predict,VERB,VBP,conj,xxxx,True,False
happen,happen,VERB,VB,relcl,xxxx,True,False
manage,manage,VERB,VB,conj,xxxx,True,False
prevent,prevent,VERB,VB,xcomp,xxxx,True,False
authorize,authorize,VERB,VB,ROOT,xxxx,True,False
use,use,VERB,VB,xcomp,xxx,True,False
register,register,VERB,VB,ROOT,xxxx,True,False
login,login,VERB,VB,conj,xxxx,True,False
including,include,VERB,VBG,prep,xxxx,True,False
has,have,VERB,VBZ,ROOT,xxx,True,True
redirect,redirect,VERB,VB,ROOT,xxxx,True,False
homepage,homepage,VERB,VB,xcomp,xxxx,True,False
shows,show,VERB,VBZ,ROOT,xxxx,True,False
contains,contain,VERB,VBZ,ccomp,xxxx,True,False
modify,modify,VERB,VB,conj,xxxx,True,False
is,be,VERB,VBZ,ROOT,xx,True,True
find,find,VERB,VB,relcl,xxxx,True,False
view,view,VERB,VB,ROOT,xxxx,True,False
clicking,click,VERB,VBG,pcomp,xxxx,True,False
show,show,VERB,VB,conj,xxxx,True,True
display,display,VERB,VBP,relcl,xxxx,True,False
show,show,VERB,VBP,ROOT,xxxx,True,True
allows,allow,VERB,VBZ,conj,xxxx,True,False
export,export,VERB,VB,ccomp,xxxx,True,False
added,add,VERB,VBN,ROOT,xxxx,True,False
add,add,VERB,VBP,ROOT,xxx,True,False
detect,detect,VERB,VB,advcl,xxxx,True,False
has,have,VERB,VBZ,ROOT,xxx,True,True
develop,develop,VERB,VB,acl,xxxx,True,False
update,update,VERB,VB,relcl,xxxx,True,False
develop,develop,VERB,VB,conj,xxxx,True,False
show,show,VERB,VB,advcl,xxxx,True,True
report,report,VERB,VBP,ccomp,xxxx,True,False
