TEXT,LEMMA,POS,TAG,DEP,SHAPE,ALPHA,STOP
In,in,ADP,IN,prep,Xx,True,True
the,the,DET,DT,det,xxx,True,True
present,present,NOUN,NN,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
there,there,PRON,EX,expl,xxxx,True,True
are,be,VERB,VBP,ROOT,xxx,True,True
several,several,ADJ,JJ,amod,xxxx,True,True
types,type,NOUN,NNS,attr,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
cars,car,NOUN,NNS,pobj,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
road,road,NOUN,NN,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
Monitoring,monitoring,NOUN,NN,nsubj,Xxxxx,True,False
become,become,VERB,VBP,ROOT,xxxx,True,True
a,a,DET,DT,det,x,True,True
lot,lot,NOUN,NN,npadvmod,xxx,True,False
harder,hard,ADJ,JJR,acomp,xxxx,True,False
than,than,ADP,IN,prep,xxxx,True,True
before,before,ADV,RB,pcomp,xxxx,True,True
.,.,PUNCT,.,punct,.,False,False
Today,today,NOUN,NN,npadvmod,Xxxxx,True,False
we,we,PRON,PRP,nsubj,xx,True,True
are,be,AUX,VBP,aux,xxx,True,True
going,go,VERB,VBG,ROOT,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
talk,talk,VERB,VB,xcomp,xxxx,True,False
about,about,ADP,IN,prep,xxxx,True,True
the,the,DET,DT,det,xxx,True,True
project,project,NOUN,NN,pobj,xxxx,True,False
that,that,PRON,WDT,nsubj,xxxx,True,True
can,can,AUX,MD,aux,xxx,True,True
help,help,VERB,VB,relcl,xxxx,True,False
monitoring,monitoring,NOUN,NN,xcomp,xxxx,True,False
become,become,VERB,VB,advcl,xxxx,True,True
easier,easy,ADJ,JJR,acomp,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
"
","
",SPACE,_SP,dep,"
",False,False
This,this,DET,DT,det,Xxxx,True,True
project,project,NOUN,NN,nsubj,xxxx,True,False
is,be,AUX,VBZ,ROOT,xx,True,True
a,a,DET,DT,det,x,True,True
web,web,NOUN,NN,compound,xxx,True,False
application,application,NOUN,NN,attr,xxxx,True,False
based,base,VERB,VBN,acl,xxxx,True,False
on,on,ADP,IN,prep,xx,True,True
Django,Django,PROPN,NNP,compound,Xxxxx,True,False
framework,framework,NOUN,NN,pobj,xxxx,True,False
that,that,PRON,WDT,nsubjpass,xxxx,True,True
was,be,AUX,VBD,auxpass,xxx,True,True
designed,design,VERB,VBN,relcl,xxxx,True,False
for,for,ADP,IN,prep,xxx,True,True
detect,detect,ADJ,JJ,pobj,xxxx,True,False
data,datum,NOUN,NNS,dobj,xxxx,True,False
from,from,ADP,IN,prep,xxxx,True,True
the,the,DET,DT,det,xxx,True,True
video,video,NOUN,NN,pobj,xxxx,True,False
that,that,PRON,WDT,nsubj,xxxx,True,True
recorded,record,VERB,VBD,relcl,xxxx,True,False
with,with,ADP,IN,prep,xxxx,True,True
drone,drone,NOUN,NN,compound,xxxx,True,False
camera,camera,NOUN,NN,pobj,xxxx,True,False
at,at,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
top,top,ADJ,JJ,amod,xxx,True,True
view,view,NOUN,NN,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
User,user,NOUN,NN,nsubj,Xxxx,True,False
can,can,AUX,MD,aux,xxx,True,True
input,input,VERB,VB,ROOT,xxxx,True,False
the,the,DET,DT,det,xxx,True,True
video,video,NOUN,NN,dobj,xxxx,True,False
received,receive,VERB,VBN,acl,xxxx,True,False
from,from,ADP,IN,prep,xxxx,True,True
the,the,DET,DT,det,xxx,True,True
drone,drone,NOUN,NN,pobj,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
let,let,VERB,VB,conj,xxx,True,False
this,this,DET,DT,det,xxxx,True,True
project,project,NOUN,NN,nsubj,xxxx,True,False
analyze,analyze,VERB,VB,ccomp,xxxx,True,False
it,it,PRON,PRP,dobj,xx,True,True
for,for,ADP,IN,dative,xxx,True,True
them,they,PRON,PRP,pobj,xxxx,True,True
.,.,PUNCT,.,punct,.,False,False
The,the,DET,DT,det,Xxx,True,True
result,result,NOUN,NN,nsubj,xxxx,True,False
from,from,ADP,IN,prep,xxxx,True,True
project,project,NOUN,NN,pobj,xxxx,True,False
includes,include,VERB,VBZ,ROOT,xxxx,True,False
type,type,NOUN,NN,dobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
car,car,NOUN,NN,pobj,xxx,True,False
",",",",PUNCT,",",punct,",",False,False
car,car,NOUN,NN,compound,xxx,True,False
direction,direction,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
and,and,CCONJ,CC,cc,xxx,True,True
car,car,NOUN,NN,compound,xxx,True,False
counting,counting,NOUN,NN,conj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
This,this,DET,DT,det,Xxxx,True,True
analysis,analysis,NOUN,NN,nsubj,xxxx,True,False
can,can,AUX,MD,aux,xxx,True,True
help,help,VERB,VB,ROOT,xxxx,True,False
police,police,NOUN,NNS,nsubj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
predict,predict,VERB,VB,xcomp,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
plan,plan,VERB,VB,conj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
manage,manage,VERB,VB,xcomp,xxxx,True,False
those,those,DET,DT,det,xxxx,True,True
cars,car,NOUN,NNS,dobj,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
road,road,NOUN,NN,pobj,xxxx,True,False
via,via,ADP,IN,prep,xxx,True,True
video,video,NOUN,NN,pobj,xxxx,True,False
that,that,PRON,WDT,nsubjpass,xxxx,True,True
