TEXT,LEMMA,POS,TAG,DEP,SHAPE,ALPHA,STOP
present,present,NOUN,NN,pobj,xxxx,True,False
types,type,NOUN,NNS,attr,xxxx,True,False
cars,car,NOUN,NNS,pobj,xxxx,True,False
road,road,NOUN,NN,pobj,xxxx,True,False
Monitoring,monitoring,NOUN,NN,nsubj,Xxxxx,True,False
lot,lot,NOUN,NN,npadvmod,xxx,True,False
Today,today,NOUN,NN,npadvmod,Xxxxx,True,False
project,project,NOUN,NN,pobj,xxxx,True,False
monitoring,monitoring,NOUN,NN,xcomp,xxxx,True,False
project,project,NOUN,NN,nsubj,xxxx,True,False
web,web,NOUN,NN,compound,xxx,True,False
application,application,NOUN,NN,attr,xxxx,True,False
framework,framework,NOUN,NN,pobj,xxxx,True,False
data,datum,NOUN,NNS,dobj,xxxx,True,False
video,video,NOUN,NN,pobj,xxxx,True,False
drone,drone,NOUN,NN,compound,xxxx,True,False
camera,camera,NOUN,NN,pobj,xxxx,True,False
view,view,NOUN,NN,pobj,xxxx,True,False
User,user,NOUN,NN,nsubj,Xxxx,True,False
video,video,NOUN,NN,dobj,xxxx,True,False
drone,drone,NOUN,NN,pobj,xxxx,True,False
project,project,NOUN,NN,nsubj,xxxx,True,False
result,result,NOUN,NN,nsubj,xxxx,True,False
project,project,NOUN,NN,pobj,xxxx,True,False
type,type,NOUN,NN,dobj,xxxx,True,False
car,car,NOUN,NN,pobj,xxx,True,False
car,car,NOUN,NN,compound,xxx,True,False
direction,direction,NOUN,NN,conj,xxxx,True,False
car,car,NOUN,NN,compound,xxx,True,False
counting,counting,NOUN,NN,conj,xxxx,True,False
analysis,analysis,NOUN,NN,nsubj,xxxx,True,False
police,police,NOUN,NNS,nsubj,xxxx,True,False
cars,car,NOUN,NNS,dobj,xxxx,True,False
road,road,NOUN,NN,pobj,xxxx,True,False
video,video,NOUN,NN,pobj,xxxx,True,False
drone,drone,NOUN,NN,pobj,xxxx,True,False
intersection,intersection,NOUN,NN,pobj,xxxx,True,False
example,example,NOUN,NN,pobj,xxxx,True,False
holidays,holiday,NOUN,NNS,pobj,xxxx,True,False
lot,lot,NOUN,NN,nsubj,xxx,True,False
people,people,NOUN,NNS,pobj,xxxx,True,False
family,family,NOUN,NN,dobj,xxxx,True,False
web,web,NOUN,NN,compound,xxx,True,False
application,application,NOUN,NN,nsubj,xxxx,True,False
police,police,NOUN,NNS,nsubj,xxxx,True,False
number,number,NOUN,NN,dobj,xxxx,True,False
cars,car,NOUN,NNS,pobj,xxxx,True,False
data,datum,NOUN,NNS,dobj,xxxx,True,False
situation,situation,NOUN,NN,dobj,xxxx,True,False
future,future,NOUN,NN,pobj,xxxx,True,False
